TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"

MAMA & ME;USA AND CANADA;YES;FENIX PICTURES;0 609408 705793;;DVD;;501,2;;Documetary, DRAMA;MAMA AND ME;Coleman,Lamont/Dowridge,Denver/Gant,Richard;Coleman,Lamont;;Full;;30;1;19,99;;;;;2013;7/8/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x11;NA;English;not yet;no;80 minutes;;Yes;NN;;;;;;Amour, Nebraska, ;http://www.privatecinema.info/#!mama-and-me/cvhc;"""Heartwrenching personal drama as the focus of the story. Advocacy and awareness for the illness dementia. Cathartic and emotional real-life story.
-Stars Taraji Henson""";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"I was in Hollywood wrapping up my film project, In the Closet. Around that time, I was also planning to drive across country with my mother, documenting our family’s history. We visited a lot of family members and interviewed them. While spending time with my mother, I began to notice her abnormal behavior. She was struggling to articulate her thoughts and recall past memories. It was then when I realized there was something seriously wrong with her. Little did I realize, however, she was entering the early stages of dementia. Memory by memory the mom I knew is leaving me, it is truly the longest of goodbyes. Memories define what our life was and is to others. Its the treasure that we pass on to our children, that becomes the legacy of who we were. As those memories fade, I create new ones. Though she may not be able to recall all of our past experiences she is present for our current ones and that is a joy within itself. Every day is a new memory that replaces a past one and my mother remains whole. As we take this
 last journey together, it is and always will be mama and me";HD;1 M;Lamont A Coleman;Colin Stewart     ;Daniel Smith Coleman;Daniel Smith Coleman;Kevin MacLeod;A Smith Side Entertainment;PG13

Boys in Kichute;USA AND CANADA;YES;FENIXPICTURES;0 609408 733086;;DVD;;501,57;;Family;BOYS IN KICHUTE;Schunemann, Werner / Pasmanter, Vivianne / Salles, Arlete / Pereio, Paulo Cesar / Introducing: Alexandre, Lucas;Amberg, Luca;;Full;;30;1;19,98;;;;;2010;7/22/16;NN;;;;;Amaray;1;NTSC;Stereo, Dolby Digital;Color;Widescreen;16x9;NA;Portuguese;Yes;Yes;102 minutes;;YES;NN;;;;;;Goal, The Dream Begins ;http://www.privatecinema.info/#!boys-in-the-kichute/c1ddo;A sensitive family movie about a brazilian boy coming of age / A boy's dream to become a professional soccer player / Boys nature of soccer in Brazil before European's major clubs.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";A 12 year old boy wants to become a professional soccer player, but has to overcome his own fears to convince his team mates and specially his father who is against competition.;HD/ 4K;2M;LUCA AMBERG;LUCA AMBERG & MARCIO AMERICO;LUCA AMBERG & TIAGO BERTI;CRISTIANO WIGGERS;LUIZ FRANCO THOMAZ;AMBERG FILMES;PG

"UCMMA OR WCMMA
( TV SERIES) 
(93, 30 minute episodes )";USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705557;;DVD;;501,56;;CONTACT SPORT;UCMMA - WARRIOR CHALLENGE MIXED MARTIAL ARTS;O'DONNELL, DAVE / SLEDGE, ANDY / CURZON, DANIELLE / WATERMAN, GRANT / Carling, Mark / Shortman, Dan / Geer, Andy / Freeman, Brett / Williams, Ryan / Rhye, Jazdeep / Bandrah, Amin / Thomas, Rocky / Ample, Andres / Holmes, Josh / Grayson, Nathan / Bonford, David / Clements, Steve / Heffron, Lee / Foo, Eugene / Rand, Barry / King, Shaun / Mongoman, Lee / Priestly, Toby / Brown, Lee / Gambort, Renendort / Scott, Robert / Driscol, Frank /Simmons, T J / Imbanor, Todor / Embaniek, Damien / Fulham, Ben / Hodgkinson, Mike / Sutton, Perry / Allen, Calvin / Sammy, Jamie / Collins, Jack / Andrews, Jason / Harris, Neil / Pippins, Daniel / Reman, Steve;Rehman, Steve;;Full;;30;1;19,98;;;;;2012- 2014;8/12/16;New;;;;;New;ALL;BOTH;Stereo;Color;Full Screen;1920x1080;NR;English;No;No;"- NUMBER OF SEASONS: 3
- EPISODES PER SEASON: 5
- EPISODES TOTAL: 15 - EACH -EPISODE TIME: 150 mins 
- TOTAL TIME : 2250 MINUTES 
= 37 HOURS AND 30 MINUTES";;;;;;;;;UCMMA, Cage Rage;http://www.privatecinema.info/#!wcmma-tv-series/c59w;WCMMA is the place to find out if you have that fight factor, fighters are looking to make a statement and some of the guys have trained for just a few weeks.;;"HISTORY: Fighters
using the most effective aggression and effective technique will win the round.
Also the three knock-down rule applies, and a fighter can only be saved from a
count by the bell in the final round. the choice to use MMA gloves or standard
kickboxing gloves are agreed to by both fighters. Because of the pace of the
action, if fighters get into a clinch they will be allowed a single knee strike
and then must break clean. If the referee says ‘break’ they must not hit on the
break. Rules are set so that certain things that are allowed in MMA are not
used in the UK1 bouts, such as standing/clinching elbow strikes, ground
fighting (grappling or striking), trips, takedowns or throws.



Since its first bouts, it has gained popularity, as it
makes their fight card more exciting and keeps the audience entertained if the
prior fights were boring due to slow pace striking or grappling. It also allows
the company to reach the type of audience that dislikes the use of small 6oz
MMA gloves, grappling and striking to a grounded opponent. There are also
titles in each weight division, which follows the same as their MMA divisions…";HD;16M ;Steve Baily,;Dave O'Donnell;Alex Davenport;Steve Baily;Spanish Fly;Super Striker LTD;PG13

MAC DADDY'S VEGAS ADVENTURE ;USA AND CANADA;YES;FENIXPICTURES;0 609408 733093;;DVD;;501,58;;Action,  Comedy, Adventure;MAC DADDY'S VEGAS ADVENTURE ;C. Thomas Howell, Mac Jay, Mario Novell, Madeleine Wade, Jacqui Holland;Mac  Jay;;Full;;30;1;19,98;;;;;2015;8/26/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;98 min;;Yes;NN;;;;;;Hungover;"http://www.privatecinema.info/#!mac-daddy-adventure-in-vegas/cq1

SAMPLE in 4K
https://app.box.com/s/2qgouaawfaunx6sd2vpc0qs2wrl7pr01";;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";After Mac Daddy decides to quit being an international ladies man, two of his best pupils (Diego & Damon), which have been trained by him in the arts of seduction, decide to take over. Damon and Diego take their game to Vegas to become international ladies men. But Damon ends up hitting on the wrong woman, and both Damon and Diego get involved with the most dangerous Italian Mafia in Vegas. Now Mac Daddy must come back into the game, and help save their lives;HD and 4K and 6K;3.5M;Mac Jay | Mario Novell;Mac Jay | Mario Novell;Chris Ross Leong;Christopher Gosch;Bruno Valenti;Novell Productions;PG13

EYES OF THE WOOD;USA AND CANADA;YES;FENIX PICTURES;0 609408 732911;;DVD;;501,06;;Horror;EYES OF THE WOOD; Bolten,Michael /  Christeas,Michael / Delgado,Darla ;Indelicato,Anthony ;;Full;;30;1;19,98;;;;;2009;9/23/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;79 min;;Yes;NN;;;;;;Blair Witch Project, Friday the 13th, The Cabin in the Woods;http://www.privatecinema.info/#!eyes-of-the-woods/ck4;"-a standard slasher film, where a group of teens are away from civilization and are attacked by a super natural being 
-promises to be gory and use classic ""jump scare""
-the illicit acitivities of the victims before their deaths will no doubt be part of the films appeal";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"Something evil is waiting, lurking.... hungry, thirsty, and anxious for revenge. The Wicker demon has awakened and the woods of Knobs Creek shall never be the same. For one unlucky group of kids, a road trip to the lake turns very wrong, very fast. They soon find themselves separated, alone and terrified as they battle a ruthless, flesh-eating creature. Outrun. Outlast. Outlive. Who among them will survive trapped deep within the Eyes of the Woods? 

In the tradition of The Evil Dead and Jeepers Creepers, Eyes of the Woods is an edge-of- your-seat fright-mare destined to become a cult classic. Horrifying and wicked, Eyes of the Woods will chill your flesh as the blood drenches the screen.";HD;1 M;Chesley Heymsfield;Frank Adonis;Oren Kamara;Kevin F. Jones;Rob Gokee;Fade to Black Films;R

UNSOLVED;USA AND CANADA;YES;FENIX PICTURES;0 609408 733055;;DVD;;501,4;;Horror / Thriller;UNSOLVED;Bunting,Jane /  Shideler,Josh / LaRaye, Tinasha ;McDaniel,Lance ;;Full;;30;1;19,98;;;;;2009;9/23/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;88 min;;YES;NN;;;;;;Cry_Wolf, The Silence of the Lambs, The Hole, 88 Minutes, Tracking Fire;http://www.privatecinema.info/#!unsolved/c1qgq;"-a murder mystery film
-protaganists are college students
-filled with both drama and some action";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A group of sleuthing college students delve into a 15 year old campus murder case, and discover that the truth may have been best left buried in this independent horror thriller.;HD;1 M;Sean Lynch;Lance McDaniel;Patrick Kirk;David H. Greene;Rick McKee;OCU Films;PG13

"FUNNY LITTLE CARS

(TV Series - Animation)";USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705984;;DVD;;501,48;;Animation;"FUNNY LITTLE CARS

(TV Series - Animation)";;Villinkovic,Vladimir ;;Full;;30;1;19,98;;;;;2014;9/23/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;YES; 26 episodes X 7 minutes (Approx 3 Hours);;YES;NN;;;;;;Cars, Veggie Tales, The Brave Little Toaster;http://www.privatecinema.info/#!funny-little-cars/c15zj;In talks wtih Nickelodeon;-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc Strong social media compain;"Citizens of Doom Valley are not human beings but cars, trucks, boats, scooters, and containers with strong human characteristics.

Doom Valley is being destroyed by criminals and environmentally unsound businesses, and it’s up to the few residents left in town to stay and fight back.";HD;$5.5m;Orsat Zovko;Miloje Radakovic;Vladimir Milinkovic;Dragoslav Ulic Dag;Tonski Vilenjak;Frame 2 Frame;G

CRACKDOWN;USA AND CANADA;YES;FENIX PICTURES;0 609408 732904;;DVD;;501,01;; Action / War;CRACKDOWN; De Rose,Chris /  Seibl,Seib / Caravelli,Tyke;Garwood,John ;;Full;;30;1;19,98;;;;;1988;10/14/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;92 min;;YES;NN;;;;;;Death Wish, Heat, Walking Tall;http://www.privatecinema.info/#!crackdown/ct7t;;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";In this action drama, a high-ranking military man returns to his home town, only to discover that drug dealers have taken control of the city and that crack has polluted the community. When he finds that the law is no help in stemming the tide of drug dealers and gangsters, he recruits two of his old Army buddies to take on the drug cartel on their own.;HD;1 M;John A. Bushelman;Larry Ward;Bill Martin;Manolo Abaya;Mark Evans | Pat Valentino;John Garwood Productions;PG13

PEOPLE FROM SPACE;USA AND CANADA;YES;FENIX PICTURES;0 609408 705915;;DVD;;501,3;;Comedy / Scifi;PEOPLE FROM SPACE;Hill , Spring  / Klayman, Cindy  /  Macintosh, Brownie;Berlin, Marc ;;Full;;30;1;19,98;;;;;1999;10/28/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;90 minutes;;Yes;NN;;;;;;Best in Show, Baghead, Wanderlust;http://www.privatecinema.info/#!people-from-space/c10fj;"-a wacky sci fi film
- classic storyline of ordinary people becoming involved with the extra ordinary";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Missy and Sean, a cool, yet not very swift couple, head to the home of their friends Felicia and Bob, searching for something to do on a Saturday morning. While scanning the newspaper, Bob suddenly remembers hearing about an alien spaceship that supposedly crashed at nearby Beavertail Lake, and an offer of $100,000 for anyone who can locate it.;HD;1 M;Marc Berlin;Marc Berlin;Stephen T. Maing;Stephen T. Maing;Tom Paolino;Elite Entertainment;PG13

LAST FLIGHT;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705823;;DVD;;501,49;;Action, Thriller, Horror;LAST FLIGHT; Westwick,Ed / Zhu,Zhu;Vincent Zhou;;Full;;30;1;19,98;;;;;2014;10/28/16;NN;;;;;Amaray;1;NTSC;Surround 7.1;Color;Widescreen;16x9;NA;English;No;YES;95 min;;Yes;NN;;;;;;Redeye, Snakes on a Plane, Twister,They Live, Poltergeist;http://www.privatecinema.info/#!last-flight-/c1epr;"LAST FLIGHT ( 2D and 3D version available) keep in mid this project starts Ed Westwick http://en.wikipedia.org/wiki/Ed_Westwick  
from Gossip Girls, was a few days ago release in China and over pass the 16 M box Office being exposed in more than 2500 screens.";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Middle size theatrical release.";As an old Boing 747 takes off for its last red-eye flight from a small Pacific island, unusual events occur intermittently. While all the passengers are panic, the captain and the chief flight attendant try to lead the investigation.;HD and 4K;8 M;Vincent Zhou;Peter Cameron;Vance Null;Vincent Zhou;Garry Schyman;Ci Wen Media;PG13

SEVEN SOULS IN THE SKULL CASTLE;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705649;;DVD;;501,5;;Action;Seven Souls in the Skull Castle;Oguri,Shun/Moriyama,Mirai/Saotome,Taichi/Koike,Eiko;Inoue,Hidenori;;Full;;30;1;19,99;;;;;2014;11/11/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;Japanese;Yes;YES;130 minutes;;YES;NN;;;;;;47 Ronin, Red Cliff, Crouching Tiger Hidden Dragon, Kill Bill, Battle Royale, Five Fingers of Death;http://www.privatecinema.info/#!seven-souls/c14ay;"From the top of Japan's entertainment world, theatrical troupe Gekidan Shinkansen brings a new live-theatre style of film screening to moviegoers, as their popular stage performance becomes a production that can be enjoyed ""just like a stage performance"" in the cinema. Using the latest cinematic techniques, the sweat, tears, and subtle emotions of the actors are brought to life through carefully calculated motion picture projection. With high definition audio systems amplifying the actors' stage presence, experience the living excitement of a performance beyond your wildest imagination. Since the first performance, this ""New Entertainment for the Cinema"" has been supported and enjoyed by Shinkansen fans, theatre fans, and film fans, and this latest production has been eagerly anticipated by an explosively growing number of people. The Geki•Cine (Filmed Live on Stage) project was started in 2003.""";"--Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.
Winner at:  JAPAN FILM SOCIETY festival 
Asian Film Festival of Dallas 
CINEMATSURI  WISHINGTON
Japanese Canadian Cultural Toronto
Ramen Yokocho festival
SAMURAI GEISHA FESTIVAL San Francisco ";Eight years after the fall of Oda Nobunaga, Toyotomi Hideyoshi is attempting to unify the whole of Japan. He is opposed by Tenmaō, the mysterious masked resident of Skull Castle (Dokurojō). A wandering stranger named Sutenosuke rescues the girl Sagiri from Tenmaō's men leading them all to the ultimate showdown.;HD;4 M;;;;;;;PG13

TECHQUA IKACHI: ABORIGINAL ;USA AND CANADA;YES;FENIX PICTURES;0 609408 705601;;DVD;;500,86;;Documentary / History / Drama / Short / Prophetic;TECHQUA IKACH: ABORIGINAL WARNING;Andrews,Jose/Kots,James/Matwick,Betty/Roop,Larry/Tena,Robert;Gorg,Alan;;Full;;30;1;19,99;;;;;2013;11/11/16;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;18:09;NA;English;No;No;40mins;;Yes;NN;;;;;;Dances With Wolves, Smoke Signals, The Day After Tomorrow, Last Yoik in Saami Forests, Living Documents, Amazonia masato o petroli;http://www.privatecinema.info/#!techqua/cr7a;"-A film focused on indigenous people
-It depicts their struggles to protect their land and resist exploitation";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";In the film, indigenous people resist the exploitation and pollution of their ancestral lands by oil and mining interests. In their prophecy, drilling and mining Mother Earth brings disaster, and the truth and accuracy of that prophecy is being proven in the rising specter of global warming from carbon.;HD;1 M;Alan Gorg;Alan Gorg;Mark Linthicum;David Kiser;Jeffrey Cobb;Venice Visionary Media;PG

Shiren and Ragi;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705670;;DVD;;501,51;;Martial Arts / Romance;Shiren and Ragi;Fujiwara,Tatsuya/Nagasaku,Hiromi/Takahashi,Katsumi/Miyake,Hiroki;Inoue,Hidenori;;Full;;30;1;19,99;;;;;2014;11/11/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x12;NA;Japanese;Yes;YES;120 minutes;;Yes;NN;;;;;;Crouching Tiger Hidden Dragon, Red Cliff, Ran;http://www.privatecinema.info/#!shiren-and-ragi-the-movie-two-assassin/clzm;"The movie which is an adaptation of Gekidan Shinkansen's stage play, features Fujiwara and Nagasaku Hiromi in a tragic love story.
Staring main actor of Death Note 
Tatsuya Fujiwara
http://en.wikipedia.org/wiki/Death_Note_%28film%29";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release, so far 35 theaters throught the USA and Cananda";"Two souls were drawn to each other without any possible escape from their doomed fates.
 
 It was in an era when the country was divided in the north and the south. A legendary woman “Shiren”(Hiromi NAGASAKU) who was born to a family of assassins.
 A young sword fighter “Ragi”(Tatsuya FUJIWARA) who looked up to Shiren with admiration.
 
 News was brought to the north that said the King of the South “Godai”(Katsumi TAKAHASHI) has revived who once was assassinated by Shiren.
 Shiren was once again ordered by “kyougoku”(Arata FURUTA), a high-ranking vassal of the North, to assassinate Godai.
 Shiren was upset about Godai being still alive whom she believed she had killed. Ragi who sensed Shiren’s distress volunteered to accompany her on the mission.
 Shiren’s cold heart started to melt by seeing Ragi’s determination to be there for and support her.
 Finally the moment to attack Godai comes.
 It was the moment when an astonishing truth was revealed to the two who had shared their love by that time.";HD;4 M;;Kazuki Nakashima;;;;;PG13

VIOLENT ZONE;USA AND CANADA;YES;FENIX PICTURES;0 609408 733062;;DVD;;501,41;;Action;VIOLENT ZONE; Douglas,John Jay / Parra, Mark  / DeLeon,Jack;Garwood, John ;;Full;;30;1;19,98;;;;;1989;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no; 92min;;YES;NN;;;;;;Platoon, The Deer Hunter, Red Dawn, Commando, Terminator, James Bond;http://www.privatecinema.info/#!violent-zone/c20f8;"-Heavy action survival film
-lot's of explosions and gunfigths
-plot is largely an excuse to portray a violent conflict";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"John Douglas, Chard Hayward and Christopher Weeks are the leading characters of Violent Zone. When a party of travellers is lost in the wilderness, the officials are at a loss to effect a rescue. Not so a group of mercenaries who'll do anything for a buck. It turns out that the ""rescue"" is a sham, and there's dirty work afoot. Violent Zone is unrated, but contains . . . well, violence. ~ Hal ~ Hal Erickson, Rovi";HD;1 M;John Garwood ;Josh A. Bushelman;Stephen Bushelman;Roger Estrada;Malcolm Cecil | Mark Josephson;VIOLENT ZONE PRODUCTIONS;PG13

MEMORIES OF TATA;USA AND CANADA;YES;FENIX PICTURES;0 609408 733000;;DVD;;501,24;;Documentary / Biography / Adventure;MEMORIES OF TATA; Morales,Adam /  Morales,Rosa / Night,Martha ;Schiffer, Sheldon ;;Full;;30;1;19,98;;;;;1994;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;52 MIN;;YES;NN;;;;;;The Secret of Her Eyes, ;http://www.privatecinema.info/#!memories-of-tata/c1d1j;"-a documentery depicting masculinity and violence
-biographical
-focuses on a Nicarugaun imigrant family ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Are machismo, infidelity and violence inseparable? When filmmaker Sheldon Schiffer tears off the veils of silence in his Nicaraguan immigrant family, he uncovers the scars left on his mother, aunt and grandmother by his enigmatic grandfather. In a tragically common family saga, Schiffer reflects on his legacy and reexamines what it means to be a man.;HD;1 M;Sheldon Schiffer;Sheldon Schiffer;Sheldon Schiffer;Molly Strange | Fabián Wagmister;Robert Jackson;Ghost in the Weed Productions;PG

MAN WHO KNEW BUSH, the;USA AND CANADA;YES;FENIX PICTURES;0 609408 732980;;DVD;;501,21;;Documentary;MAN WHO KNEW BUSH, the;Gary Boyd Roberts,Gary /  Castro,Alejandro / Craig,Vernon ;Marc Berlin;;Full;;30;1;19,98;;;;;2004;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;75 min;;Yes;NN;;;;;;W., Fahrenheit 9/11, Bowling For Columbine;http://www.privatecinema.info/#!the-man-who-knew-bush/c23y5;-Stars Taraji Henson;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";George W. Bush, 43rd President of the United States, had a storybook life before arriving in office via a contentious 2000 election. Many Americans, however, are unaware of who, or more importantly, what, Bush pretends not to be: a very wealthy, extremely well-connected northeastern Yankee blueblood. Fortunately, six months prior to the 2004 election, documentary filmmaker Marc Berlin discovered someone who did know these things: Vernon Craig. Distantly related to the Bush's, and victim of a Dubya sucker-punch outside a New Haven bar in 1968, Craig agreed to be interviewed about his extensive knowledge of, and connection to, the Bush-Walker dynasty. Guiding us to those elite places and institutions which played a role in forming George W.'s right-wing politics--from the sprawling Walker estate in Kennebunkport to Phillips Academy in Andover, Massachusetts and finally the ivied walls of Yale University and Skull and Bones.;HD;1 M;Marc Berlin;Marc Berlin;Marc Berlin;Marc Berlin;Marc Berlin;Black Sheep Films;PG13

PORTRAITS OF THE THE MALECON;USA AND CANADA;YES;FENIX PICTURES;"0 609408 733000
0 609408 733024 NO";;DVD;;501,33;;Documentary / Biography / Adventure;PORTRAITS OF THE MALECON; Hernandez,Gerardo /  Martinez,Clarissa;Schiffer,Sheldon ;;Full;;30;1;19,98;;;;;2009;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;52 min;;YES;NN;;;;;;The Empire State Building;http://www.privatecinema.info/#!portraits-of-the-malecon/c21yp;"-a documentery on Havana, Cuba and more paticularly their wall called the Sofa
-gives insight on the people and the culture, not just the Sofa";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Portraits on the Malecon explores the social uses of Havana, Cuba's 'urban sofa,' a 7-kilometer long wall called the 'malecon' (seawall), where everything one does on a sofa at night or day, is done in public, beside the sea, beneath the sky, in the open air, where the natural and urban environment meet.;HD;1 M;Sheldon Schiffer;Sheldon Schiffer;Orlando Conde Barros | Sheldon Schiffer;Roberto Arévalo;Jeff S. Wilson;Mysterious Pictures;PG

RISE & FALL OF BLACK VELVET FLAG, the ;USA AND CANADA;YES;FENIX PICTURES;"0 609408 733000
0 609408 733031 NO";;DVD;;501,35;;Documentary / Music;"RISE AND FALL OF
 BLACK VELVET FLAG  , THE";Musser,Jeff /  Stesney,Fred /  Zasky ,Jason;Schiffer,Sheldon ;;Full;;30;1;19,98;;;;;2003;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;58 min;;Yes;NN;;;;;;A Band Called Death, The Punk Singer, Metallica:some kind of monster, Who Was Harry Nilsson?, That Thing You Do!, When You're Strange;http://www.privatecinema.info/#!rise-and-fall-of-black-velvet/cjm4;Charming biographical music documentary. Playful pop culture doc about a cult musical act. Informative of a philosopical, irreverent musical group.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";The Rise and Fall of Black Velvet Flag documents the experience of three quirky young men who desire to make a mark in the world of popular music, while trying to hang on to their impulse to remain simply middle-class. The music of Black Velvet Flag mocked their audience's craving for the nostalgia of resisting conformity while showing us how ex-Punks grew up and reconciled the contradictions of their lives, and of their generation.;HD;1 M;Francisco Das Chagas ;Amir Kovacs ;Greg Brayton;Jeff Musser;Greg Brayton;Mysterious Pictures;PG

"CEREMONIES AND RITUALS 
(1. Red Road, Camino Rojo 
2. Where is The Fire? Burning Man
3. Invocation, Kumbha Mela )";USA AND CANADA;YES;FENIX PICTURES;0 609408 732881;;DVD;;500,98;;Documentary;"CEREMONIES AND RITUALS 
(1. Red Road, Camino Rojo 
2. Where is The Fire? Burning Man
3. Invocation, Kumbha Mela )";;Del Sol,Fernando ;;Full;;30;1;19,98;;;;;2010;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;"125 min
1. Red Road Camino Rojo 17minutes
2.Where is the fire? Burning Man (59 minutes)
3. Invocation , Kumbha Mela (52 minutes)";;Yes;NN;;;;;;Revealing the Origins of Life, My Life as a Turkey: Wild Turkey ;http://www.privatecinema.info/#!ceremonies--rituals/c16mt;;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"A twelve year video-travel Journal from Carlos Castaneda's school of ""Participatory Observation"". Three Ethnographic documentaries, totaling just over 2 hours. All serving as a Herald to Humanity calling for a Rise in the Collective Consciousness, to do the healing that is needed individually and planetarily, as we move away from an Age of destruction into an Age of Integration and Oneness.";HD;1 M;Fernando Del Sol;Fernando Del Sol;Fernando Del Sol;Fernando Del Sol;Fernando Del Sol;CEREMONIES & RITUALS PRODUCTIONS.LLC;PG13

